current_time,weather,temp,humidity
2025-08-11 06:45:19,Clouds,28.76,74
2025-08-11 07:02:49,Clouds,28.76,74
2025-08-11 07:34:17,Clouds,29.76,66
2025-08-11 07:50:57,Clouds,29.76,66
2025-08-11 08:21:19,Clouds,28.83,68
2025-08-11 08:51:00,Clouds,29.76,66
2025-08-11 09:20:11,Clouds,27.76,74
2025-08-11 09:45:26,Clouds,27.76,74
2025-08-11 09:57:55,Clouds,27.76,74
2025-08-11 10:33:18,Clouds,27.76,78
2025-08-11 10:53:02,Clouds,27.76,78
2025-08-11 11:17:26,Clouds,27.76,78
2025-08-11 11:35:39,Clouds,26.76,83
2025-08-11 11:48:53,Clouds,26.76,83
2025-08-11 12:18:33,Clear,24.76,88
2025-08-11 13:08:45,Clear,24.76,88
2025-08-11 13:50:40,Clear,24.76,88
2025-08-11 14:15:28,Clear,23.41,88
2025-08-11 14:43:46,Clear,24.76,88
2025-08-11 14:58:30,Clear,24.76,88
2025-08-11 15:31:54,Clear,23.76,100
2025-08-11 15:50:03,Clear,23.76,100
2025-08-11 16:15:03,Clear,23.76,100
2025-08-11 16:47:13,Clouds,22.76,100
2025-08-11 17:10:02,Clouds,22.76,100
2025-08-11 17:36:40,Mist,22.76,100
2025-08-11 17:52:17,Mist,22.76,100
2025-08-11 18:26:04,Mist,22.76,100
2025-08-11 18:55:29,Mist,22.76,100
2025-08-11 19:21:18,Clear,20.76,100
2025-08-11 19:37:34,Mist,20.76,100
2025-08-11 19:49:45,Mist,20.76,100
2025-08-11 20:12:36,Clear,20.76,100
2025-08-11 20:34:59,Mist,20.76,100
2025-08-11 20:49:59,Mist,20.76,100
2025-08-11 21:11:12,Clear,22.22,94
2025-08-11 21:30:59,Clear,20.76,100
2025-08-11 21:44:24,Mist,20.76,100
2025-08-11 21:56:13,Mist,20.76,100
2025-08-11 22:25:51,Clear,22.9,96
2025-08-11 22:44:59,Mist,23.76,100
